
Charles Thomas Wallace Truscott Watters. CSV of prime indexes
6531233, 446765
6531251, 446766
6531253, 446767
6531289, 446768
6531319, 446769
6531323, 446770
6531373, 446771
6531377, 446772
6531391, 446773
6531401, 446774
6531403, 446775
6531407, 446776
6531419, 446777
6531431, 446778
6531433, 446779
6531457, 446780
6531461, 446781
6531463, 446782
6531479, 446783
6531487, 446784
6531491, 446785
6531509, 446786
6531521, 446787
6531523, 446788
6531527, 446789
6531533, 446790
6531557, 446791
6531593, 446792
6531599, 446793
6531617, 446794
6531619, 446795
6531643, 446796
6531653, 446797
6531673, 446798
6531683, 446799
6531703, 446800
6531709, 446801
6531719, 446802
6531761, 446803
6531769, 446804
6531779, 446805
6531781, 446806
6531797, 446807
6531857, 446808
6531887, 446809
6531907, 446810
6531947, 446811
6531971, 446812
6531983, 446813
6532003, 446814
6532007, 446815
6532037, 446816
6532049, 446817
6532051, 446818
6532073, 446819
6532081, 446820
6532093, 446821
6532117, 446822
6532121, 446823
6532129, 446824
6532159, 446825
6532171, 446826
6532177, 446827
6532189, 446828
6532223, 446829
6532231, 446830
6532241, 446831
6532249, 446832
6532283, 446833
6532291, 446834
6532319, 446835
6532327, 446836
6532343, 446837
6532367, 446838
6532381, 446839
6532397, 446840
6532399, 446841
6532423, 446842
6532439, 446843
6532441, 446844
6532459, 446845
6532469, 446846
6532481, 446847
6532507, 446848
6532531, 446849
6532541, 446850
6532543, 446851
6532549, 446852
6532553, 446853
6532601, 446854
6532649, 446855
6532651, 446856
6532693, 446857
6532699, 446858
6532733, 446859
6532739, 446860
6532763, 446861
6532769, 446862
6532783, 446863
6532807, 446864
6532829, 446865
6532849, 446866
6532871, 446867
6532891, 446868
6532901, 446869
6532907, 446870
6532919, 446871
6532937, 446872
6532961, 446873
6532987, 446874
6532991, 446875
6533003, 446876
6533027, 446877
6533029, 446878
6533057, 446879
6533071, 446880
6533077, 446881
6533089, 446882
6533113, 446883
6533123, 446884
6533143, 446885
6533147, 446886
6533159, 446887
6533167, 446888
6533209, 446889
6533213, 446890
6533239, 446891
6533251, 446892
6533273, 446893
6533297, 446894
6533299, 446895
6533339, 446896
6533347, 446897
6533383, 446898
6533411, 446899
6533437, 446900
6533453, 446901
6533459, 446902
6533477, 446903
6533479, 446904
6533489, 446905
6533503, 446906
6533509, 446907
6533561, 446908
6533567, 446909
6533603, 446910
6533617, 446911
6533623, 446912
6533641, 446913
6533647, 446914
6533651, 446915
6533669, 446916
6533689, 446917
6533699, 446918
6533707, 446919
6533717, 446920
6533743, 446921
6533749, 446922
6533759, 446923
6533783, 446924
6533803, 446925
6533809, 446926
6533819, 446927
6533833, 446928
6533851, 446929
6533873, 446930
6533911, 446931
6533939, 446932
6533951, 446933
6533977, 446934
6533981, 446935
6533983, 446936
6534013, 446937
6534049, 446938
6534071, 446939
6534083, 446940
6534091, 446941
6534109, 446942
6534131, 446943
6534133, 446944
6534173, 446945
6534179, 446946
6534197, 446947
6534247, 446948
6534257, 446949
6534287, 446950
6534289, 446951
6534299, 446952
6534313, 446953
6534329, 446954
6534331, 446955
6534337, 446956
6534349, 446957
6534361, 446958
6534379, 446959
6534389, 446960
6534419, 446961
6534433, 446962
6534439, 446963
6534467, 446964
6534481, 446965
6534487, 446966
6534509, 446967
6534523, 446968
6534547, 446969
6534559, 446970
6534589, 446971
6534601, 446972
6534611, 446973
6534617, 446974
6534631, 446975
6534679, 446976
6534701, 446977
6534709, 446978
6534713, 446979
6534743, 446980
6534751, 446981
6534757, 446982
6534791, 446983
6534799, 446984
6534823, 446985
6534859, 446986
6534883, 446987
6534901, 446988
6534907, 446989
6534929, 446990
6534937, 446991
6534943, 446992
6535019, 446993
6535027, 446994
6535049, 446995
6535057, 446996
6535073, 446997
6535091, 446998
6535093, 446999
6535099, 447000
6535163, 447001
6535187, 447002
6535189, 447003
6535201, 447004
6535213, 447005
6535219, 447006
6535223, 447007
6535229, 447008
6535241, 447009
6535279, 447010
6535301, 447011
6535343, 447012
6535349, 447013
6535369, 447014
6535387, 447015
6535391, 447016
6535457, 447017
6535493, 447018
6535511, 447019
6535517, 447020
6535541, 447021
6535549, 447022
6535553, 447023
6535561, 447024
6535577, 447025
6535603, 447026
6535619, 447027
6535631, 447028
6535651, 447029
6535663, 447030
6535673, 447031
6535681, 447032
6535691, 447033
6535693, 447034
6535709, 447035
6535741, 447036
6535747, 447037
6535751, 447038
6535787, 447039
6535799, 447040
6535819, 447041
6535831, 447042
6535847, 447043
6535853, 447044
6535861, 447045
6535873, 447046
6535891, 447047
6535897, 447048
6535901, 447049
6535927, 447050
6535987, 447051
6535993, 447052
6535999, 447053
6536003, 447054
6536029, 447055
6536039, 447056
6536059, 447057
6536063, 447058
6536077, 447059
6536081, 447060
6536083, 447061
6536111, 447062
6536141, 447063
6536191, 447064
6536203, 447065
6536219, 447066
6536227, 447067
6536239, 447068
6536251, 447069
6536267, 447070
6536269, 447071
6536293, 447072
6536297, 447073
6536311, 447074
6536317, 447075
6536329, 447076
6536359, 447077
6536363, 447078
6536371, 447079
6536377, 447080
6536389, 447081
6536423, 447082
6536441, 447083
6536461, 447084
6536477, 447085
6536479, 447086
6536489, 447087
6536503, 447088
6536527, 447089
6536557, 447090
6536561, 447091
6536573, 447092
6536581, 447093
6536591, 447094
6536597, 447095
6536603, 447096
6536609, 447097
6536611, 447098
6536617, 447099
6536633, 447100
6536659, 447101
6536693, 447102
6536707, 447103
6536723, 447104
6536729, 447105
6536743, 447106
6536759, 447107
6536767, 447108
6536771, 447109
6536773, 447110
6536797, 447111
6536801, 447112
6536813, 447113
6536837, 447114
6536843, 447115
6536851, 447116
6536863, 447117
6536869, 447118
6536879, 447119
6536897, 447120
6536911, 447121
6536921, 447122
6536947, 447123
6537019, 447124
6537029, 447125
6537053, 447126
6537059, 447127
6537067, 447128
6537079, 447129
6537109, 447130
6537131, 447131
6537137, 447132
6537143, 447133
6537169, 447134
6537173, 447135
6537191, 447136
6537199, 447137
6537203, 447138
6537211, 447139
6537217, 447140
6537227, 447141
6537239, 447142
6537283, 447143
6537287, 447144
6537301, 447145
6537319, 447146
6537331, 447147
6537337, 447148
6537341, 447149
6537347, 447150
6537353, 447151
6537361, 447152
6537397, 447153
6537403, 447154
6537407, 447155
6537437, 447156
6537439, 447157
6537457, 447158
6537511, 447159
6537521, 447160
6537523, 447161
6537541, 447162
6537547, 447163
6537563, 447164
6537569, 447165
6537599, 447166
6537611, 447167
6537649, 447168
6537667, 447169
6537679, 447170
6537697, 447171
6537701, 447172
6537733, 447173
6537757, 447174
6537781, 447175
6537787, 447176
6537799, 447177
6537821, 447178
6537859, 447179
6537899, 447180
6537907, 447181
6537941, 447182
6537943, 447183
6537959, 447184
6537977, 447185
6537989, 447186
6537991, 447187
6538001, 447188
6538009, 447189
6538019, 447190
6538043, 447191
6538057, 447192
6538069, 447193
6538073, 447194
6538111, 447195
6538127, 447196
6538139, 447197
6538151, 447198
6538157, 447199
6538171, 447200
